,Company,y_pred,y_true,Diff,current_volume,current_dividends,current_stock_splits,Diff_perc
223,ALE,85.422009607453,63.66,21.76200960745301,387600.0,0.0,0.0,0.34184746477306016
224,ALEC,20.05505745271106,30.88,-10.824942547288938,344300.0,0.0,0.0,-0.3505486576194604
225,ALEX,22.18225073090978,15.49,6.6922507309097785,652000.0,0.0,0.0,0.4320368451200632
226,ALG,139.12217004228214,113.82,25.302170042282143,43100.0,0.0,0.0,0.22229985979864825
227,ALGN,249.65507518231712,289.75,-40.09492481768288,1205800.0,0.0,0.0,-0.13837765252004444
228,ALGT,189.06886799255798,133.75,55.31886799255798,462900.0,0.0,0.0,0.4135990130284709
229,ALIM,10.507784305835013,4.95,5.557784305835013,7600.0,0.0,0.0,1.1227847082494975
230,,,,,,,,
231,ALJJ,1.0713459223123116,0.64,0.4313459223123116,291800.0,0.0,0.0,0.6739780036129869
232,ALK,70.32133304072235,50.24,20.08133304072235,13224900.0,0.0,0.0,0.3997080621162888
233,ALKS,10.778537915713212,17.82,-7.041462084286788,1099600.0,0.0,0.0,-0.3951437757736694
234,ALL,125.46143441507628,106.99,18.47143441507629,2240200.0,0.0,0.0,0.17264636335242817
235,ALLE,138.64683308254914,115.54,23.10683308254913,707900.0,0.0,0.0,0.19998990031633312
236,ALLK,113.19261010768012,71.46,41.73261010768013,186500.0,0.0,0.0,0.5839995816915776
237,ALLO,25.18012026523474,42.56,-17.37987973476526,1289200.0,0.0,0.0,-0.4083618358732439
238,ALLT,10.014746863256072,10.89,-0.8752531367439289,139100.0,0.0,0.0,-0.08037218886537455
239,ALLY,34.855818444234316,23.62,11.235818444234315,9921900.0,0.0,0.0,0.4756908740150006
240,ALNA,0.3265310714750864,2.17,-1.8434689285249135,936200.0,0.0,0.0,-0.8495248518547989
241,ALNY,118.55313365721734,130.44,-11.886866342782653,612800.0,0.0,0.0,-0.09112899680146162
242,ALO,0.6079033028333144,0.9,-0.2920966971666856,94900.0,0.0,0.0,-0.3245518857407618
243,ALOT,11.564953974656143,8.0,3.5649539746561434,64900.0,0.0,0.0,0.4456192468320179
244,ALPN,1.4537061927992276,4.23,-2.776293807200773,102400.0,0.0,0.0,-0.6563342333807973
245,ALRM,34.24872700982982,60.42,-26.17127299017018,846000.0,0.0,0.0,-0.4331557926211549
246,ALRN,-0.024656245268014354,1.18,-1.2046562452680143,1286600.0,0.0,0.0,-1.0208951231084868
247,ALRS,23.01560356575964,21.46,1.5556035657596397,77600.0,0.0,0.0,0.0724885165778024
248,ALSK,1.749689517996635,2.74,-0.9903104820033652,458500.0,0.0,0.0,-0.361427183212907
249,ALSN,45.58698112288497,41.42,4.16698112288497,769900.0,0.0,0.0,0.10060311740427257
250,ALT,1.139843107211043,6.95,-5.810156892788957,1974800.0,0.0,0.0,-0.8359937975235908
251,ALTG,10.034108718285937,8.06,1.9741087182859367,135100.0,0.0,0.0,0.2449266399858482
252,ALTM,-0.9433825530432438,1.08,-2.023382553043244,1286700.0,0.0,0.0,-1.8735023639289294
253,ALTR,36.87681145439663,38.93,-2.053188545603369,241800.0,0.0,0.0,-0.05274052262017388
254,ALTY,14.711920881729744,12.29,2.4219208817297453,14600.0,0.0,0.0,0.197064351646033
255,ALUS,10.214230769230767,9.77,0.4442307692307672,0.0,0.0,0.0,0.04546886071962817
256,ALV,79.88208492742787,70.79,9.092084927427862,713400.0,0.0,0.0,0.12843741951444923
257,ALX,327.0948439861029,294.29,32.80484398610287,22400.0,0.0,0.0,0.11147114746033798
258,ALXN,95.61587325320238,119.74,-24.124126746797614,2686200.0,0.0,0.0,-0.2014709098613464
259,ALYA,2.638739859652615,1.9,0.7387398596526151,12500.0,0.0,0.0,0.38881045244874485
260,AM,2.3064519346739765,5.95,-3.6435480653260237,7819600.0,0.0,0.0,-0.612361019382525
261,AMAG,8.189484752284852,8.95,-0.7605152477151478,290200.0,0.0,0.0,-0.08497377069442992
262,AMAL,18.124578449571192,13.06,5.064578449571192,73400.0,0.0,0.0,0.3877931431524649
263,AMAT,69.88634576877095,59.9,9.986345768770953,5528700.0,0.0,0.0,0.1667169577424199
264,AMBA,69.95650168207197,53.6,16.356501682071972,594900.0,0.0,0.0,0.305158613471492
265,AMBC,21.929919147241918,15.52,6.409919147241919,595100.0,0.0,0.0,0.41301025433259786
266,AMBC,21.929919147241918,15.52,6.409919147241919,595100.0,0.0,0.0,0.41301025433259786
